model,dataset,pred_len,task,status,duration_seconds,duration_formatted,start_time,end_time,error
TransLSTM_AR_wo4,2330TW,1,long_term_forecast,success,1198.99,19m 58s,2025-12-30 10:01:31,2025-12-30 10:21:30,
TransLSTM_AR_wo4,2330TW,5,long_term_forecast,success,831.35,13m 51s,2025-12-30 10:21:30,2025-12-30 10:35:21,
TransLSTM_AR_wo4,AAPL,1,long_term_forecast,success,825.98,13m 45s,2025-12-30 10:35:21,2025-12-30 10:49:07,
TransLSTM_AR_wo4,AAPL,5,long_term_forecast,success,2419.21,40m 19s,2025-12-30 10:49:07,2025-12-30 11:29:27,
TransLSTM_AR_wo4,SPX,1,long_term_forecast,success,898.44,14m 58s,2025-12-30 11:29:27,2025-12-30 11:44:25,
TransLSTM_AR_wo4,SPX,5,long_term_forecast,success,1552.21,25m 52s,2025-12-30 11:44:25,2025-12-30 12:10:17,
TransLSTM_AR_wo4,SOX,1,long_term_forecast,success,965.01,16m 5s,2025-12-30 12:10:17,2025-12-30 12:26:22,
TransLSTM_AR_wo4,SOX,5,long_term_forecast,success,1727.93,28m 47s,2025-12-30 12:26:22,2025-12-30 12:55:10,
TransLSTM_AR_wo4,NDX,1,long_term_forecast,success,1108.09,18m 28s,2025-12-30 12:55:10,2025-12-30 13:13:38,
TransLSTM_AR_wo4,NDX,5,long_term_forecast,success,1271.35,21m 11s,2025-12-30 13:13:39,2025-12-30 13:34:50,
TransLSTM_AR,2330TW,1,long_term_forecast,success,523.33,8m 43s,2025-12-30 13:34:50,2025-12-30 13:43:33,
TransLSTM_AR,2330TW,5,long_term_forecast,success,505.56,8m 25s,2025-12-30 13:43:33,2025-12-30 13:51:59,
TransLSTM_AR,AAPL,1,long_term_forecast,success,601.87,10m 1s,2025-12-30 13:51:59,2025-12-30 14:02:01,
TransLSTM_AR,AAPL,5,long_term_forecast,success,552.79,9m 12s,2025-12-30 14:02:01,2025-12-30 14:11:13,
TransLSTM_AR,SPX,1,long_term_forecast,success,706.4,11m 46s,2025-12-30 14:11:14,2025-12-30 14:23:00,
TransLSTM_AR,SPX,5,long_term_forecast,success,653.45,10m 53s,2025-12-30 14:23:00,2025-12-30 14:33:53,
TransLSTM_AR,SOX,1,long_term_forecast,success,742.65,12m 22s,2025-12-30 14:33:53,2025-12-30 14:46:16,
TransLSTM_AR,SOX,5,long_term_forecast,success,566.45,9m 26s,2025-12-30 14:46:16,2025-12-30 14:55:43,
TransLSTM_AR,NDX,1,long_term_forecast,success,563.89,9m 23s,2025-12-30 14:55:43,2025-12-30 15:05:07,
TransLSTM_AR,NDX,5,long_term_forecast,success,566.53,9m 26s,2025-12-30 15:05:07,2025-12-30 15:14:33,
TransLSTM_AR_wo3,2330TW,1,long_term_forecast,success,831.16,13m 51s,2025-12-30 15:14:33,2025-12-30 15:28:24,
TransLSTM_AR_wo3,2330TW,5,long_term_forecast,success,1107.55,18m 27s,2025-12-30 15:28:24,2025-12-30 15:46:52,
TransLSTM_AR_wo3,AAPL,1,long_term_forecast,success,836.89,13m 56s,2025-12-30 15:46:52,2025-12-30 16:00:49,
TransLSTM_AR_wo3,AAPL,5,long_term_forecast,success,928.46,15m 28s,2025-12-30 16:00:49,2025-12-30 16:16:17,
TransLSTM_AR_wo3,SPX,1,long_term_forecast,success,831.75,13m 51s,2025-12-30 16:16:17,2025-12-30 16:30:09,
TransLSTM_AR_wo3,SPX,5,long_term_forecast,success,1199.5,19m 59s,2025-12-30 16:30:09,2025-12-30 16:50:09,
TransLSTM_AR_wo3,SOX,1,long_term_forecast,success,1195.36,19m 55s,2025-12-30 16:50:09,2025-12-30 17:10:04,
TransLSTM_AR_wo3,SOX,5,long_term_forecast,success,932.93,15m 32s,2025-12-30 17:10:04,2025-12-30 17:25:37,
TransLSTM_AR_wo3,NDX,1,long_term_forecast,success,832.91,13m 52s,2025-12-30 17:25:37,2025-12-30 17:39:30,
TransLSTM_AR_wo3,NDX,5,long_term_forecast,success,1108.84,18m 28s,2025-12-30 17:39:30,2025-12-30 17:57:59,
TransLSTM_AR_wo2,2330TW,1,long_term_forecast,success,922.0,15m 21s,2025-12-30 17:57:59,2025-12-30 18:13:21,
TransLSTM_AR_wo2,2330TW,5,long_term_forecast,success,1020.21,17m 0s,2025-12-30 18:13:21,2025-12-30 18:30:21,
TransLSTM_AR_wo2,AAPL,1,long_term_forecast,success,831.19,13m 51s,2025-12-30 18:30:21,2025-12-30 18:44:12,
TransLSTM_AR_wo2,AAPL,5,long_term_forecast,success,836.92,13m 56s,2025-12-30 18:44:12,2025-12-30 18:58:09,
